idle, timer, state
46,3004,1
59,2813,1
528,2619,3
786,1895,3
769,878,3
67,1701,1
91,1448,1
197,1140,2
186,868,2
56,473,1
33,304,1
161,188,2
882,1205,3
747,7829,3
678,6905,3
619,6040,3
58,5182,1
285,4969,2
383,10422,3
2881,9816,3
91,6667,1
4050,6402,3
64,2055,1
50,1978,1
714,1758,3
765,825,3
660,777,3
46,57,1
33,9595,1
243,9130,2
73,8601,1
3368,8351,3
312,10210,3
103,9631,2
3950,9302,3
74,5045,1
3994,4763,3
117,447,2
158,157,2
329,341,3
218,233,2
81,518,1
898,946,3
782,843,3
227,845,2
125,317,2
55,34,1
953,971,3
455,5519,3
1901,4675,3
44,2445,1
479,2241,3
751,1526,3
441,543,3
9,5015,1
1278,4962,3
84,3434,1
3101,3141,3
190,216,2
78,10327,1
97,10080,1
3926,9763,3
10,5496,1
581,5319,3
99,10205,1
95,9780,1
2427,3841,3
88,1117,1
42,835,1
536,619,3
2941,3832,3
79,591,1
305,317,3
842,1602,3
483,541,3
9,10889,1
1057,10498,3
78,9193,1
3840,8833,3
46,9669,1
4004,9465,3
71,5191,1
4012,4902,3
75,599,1
274,321,2
80,837,1
231,248,2
2594,10903,3
15,8002,1
60,7950,1
2391,7722,3
1237,9154,3
91,7652,1
1912,7348,3
81,5191,1
128,4734,2
607,4132,3
91,3280,1
99,3174,1
508,2758,3
780,2038,3
781,1040,3
37,39,1
610,656,3
7,15036,1
3685,3736,3
31,10566,1
36,3992,1
3823,3879,3
32,6001,1
61,3992,1
3773,3829,3
28,1462,1
47,1206,1
732,1078,3
324,337,3
71,2666,1
78,2216,1
2037,2128,3
24,67,1
49,3993,1
3801,3857,3
36,8641,1
38,3981,1
3807,3864,3
33,4048,1
49,3750,1
100,3598,2
3418,3486,3
463,1211,3
454,519,3
42,28,1
33,968,1
798,848,3
769,832,3
34,670,1
46,418,1
309,294,3
671,718,3
781,839,3
476,1397,3
30,582,1
479,530,3
50,7154,1
44,3992,1
3804,3861,3
32,2539,1
45,2285,1
197,2158,2
867,1872,3
720,786,3
48,1360,1
220,893,2
535,589,3
79,121,1
7,3964,1
3829,3881,3
31,9837,1
43,3993,1
3770,3871,3
34,5382,1
50,3989,1
3766,3837,3
34,806,1
49,532,1
124,388,2
237,253,2
77,3320,1
2712,2770,3
48,3993,1
3799,3856,3
32,7895,1
