cpu-id,start time(ms),width(us),actual state,predicted state,delta time(ms)
1,0.108,86.0,4,2,0
1,0.516,59.0,3,2,0.408
1,0.74,1031.0,4,4,0.224
1,1.858,888.0,4,4,1.118
1,2.796,180.0,3,3,0.938
1,3.232,32.0,2,2,0.436
1,3.471,59.0,3,2,0.239
1,3.618,11.0,2,2,0.147
1,3.742,962.0,4,4,0.124
1,4.891,750.0,4,4,1.149
1,69.81,936.0,4,4,64.919
1,70.767,233.0,4,3,0.957
1,71.321,20.0,4,2,0.554
1,71.385,132.0,4,3,0.064
1,71.584,155.0,4,3,0.199
1,71.756,971.0,4,4,0.172
1,72.898,144.0,4,3,1.142
1,73.24,518.0,4,4,0.342
1,73.79,18.0,4,2,0.55
1,74.342,370.0,4,4,0.552
1,74.756,297.0,4,3,0.414
1,75.456,148.0,4,3,0.7
1,75.668,1092.0,4,4,0.212
1,76.803,2344.0,4,4,1.135
1,79.476,71.0,4,2,2.673
1,79.621,86.0,4,2,0.145
1,79.796,1971.0,4,4,0.175
1,81.888,1292.0,4,4,2.092
1,83.561,88.0,3,2,1.673
1,83.765,991.0,4,4,0.204
1,84.889,851.0,4,4,1.124
1,85.762,89.0,2,2,0.873
1,85.93,1274.0,4,4,0.168
1,87.901,357.0,4,4,1.971
1,88.525,202.0,4,3,0.624
1,89.081,306.0,4,4,0.556
1,89.923,471.0,4,4,0.842
1,92.301,411.0,3,4,2.378
1,92.75,86.0,2,2,0.449
1,92.894,71.0,4,2,0.144
1,93.562,142.0,2,3,0.668
1,93.707,246.0,3,3,0.145
1,94.029,703.0,4,4,0.322
1,94.768,269.0,3,3,0.739
1,95.243,78.0,4,2,0.475
1,95.407,117.0,4,3,0.164
1,95.598,2500.0,4,4,0.191
1,98.124,861.0,4,4,2.526
1,99.063,94.0,4,2,0.939
1,99.551,61.0,3,2,0.488
1,99.74,134.0,4,3,0.189
1,99.901,120.0,4,3,0.161
1,100.129,21.0,2,2,0.228
1,100.155,38.0,2,2,0.026
1,100.196,69.0,2,2,0.041
1,100.368,33.0,2,2,0.172
1,100.405,42.0,2,2,0.037
1,100.451,40.0,2,2,0.046
1,100.495,42.0,2,2,0.044
1,100.54,42.0,2,2,0.045
1,100.586,47.0,2,2,0.046
1,100.859,21.0,2,2,0.273
1,100.884,43.0,2,2,0.025
1,100.93,42.0,2,2,0.046
1,100.975,42.0,2,2,0.045
1,101.02,42.0,2,2,0.045
1,101.065,38.0,2,2,0.045
1,101.107,38.0,2,2,0.042
1,101.149,43.0,2,2,0.042
1,101.195,41.0,2,2,0.046
1,101.24,41.0,2,2,0.045
1,101.285,42.0,2,2,0.045
1,101.33,46.0,2,2,0.045
1,101.379,35.0,2,2,0.049
1,101.417,43.0,2,2,0.038
1,101.463,40.0,2,2,0.046
1,101.506,43.0,2,2,0.043
1,101.552,39.0,2,2,0.046
1,101.594,42.0,2,2,0.042
1,101.64,61.0,2,2,0.046
1,101.722,16.0,2,2,0.082
1,101.742,42.0,2,2,0.02
1,101.787,42.0,2,2,0.045
1,101.832,42.0,2,2,0.045
1,101.878,6.0,2,2,0.046
1,101.922,26.0,2,2,0.044
1,102.0,132.0,2,3,0.078
1,102.136,113.0,2,3,0.136
